seed,stress_level,method,task_success,deployed_violation,unshielded_violation,intervention_rate,intervention_severity,filter_dependence,boundary_f1,boundary_ece,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret
1,0.0,safety_filter_distillation,0.394444,0.508333,0.811111,0.758333,0.100886,0.248700,0.745631,0.130083,0.702778,0.297222,-0.051734,0.122633,0.502181
1,0.0,shielded_behavior_cloning,0.302778,0.638889,0.811111,0.588889,0.084363,0.247122,0.660793,0.151196,0.761111,0.183333,-0.225255,0.101965,0.569129
1,0.0,unfiltered_policy,0.177778,0.847222,0.811111,0.000000,0.000000,0.000000,0.000000,0.494493,0.850000,0.000000,-0.415300,0.170333,0.635556
1,0.2,action_clipping_filter,0.194444,0.577778,0.863889,0.919444,0.221964,0.726222,0.819728,0.118723,0.861111,0.322222,-0.436921,-0.183744,0.673900
1,0.2,adversarial_safety_critic,0.222222,0.688889,0.861111,0.527778,0.079996,0.213889,0.626398,0.274733,0.733333,0.183333,-0.331107,0.070582,0.590466
1,0.2,boundary_learning_filter_v4,0.288889,0.550000,0.833333,0.852778,0.119169,0.274847,0.801418,0.107984,0.686111,0.302778,-0.196496,0.089481,0.537054
1,0.2,cbf_safety_filter,0.488889,0.305556,0.852778,0.933333,0.232108,0.802133,0.809444,0.197629,0.872222,0.536111,0.021681,-0.190254,0.532836
1,0.2,conformal_uncertainty_shield,0.508333,0.272222,0.866667,0.947222,0.280449,0.840397,0.816054,0.269052,0.847222,0.597222,0.041972,-0.218131,0.526773
1,0.2,counterfactual_boundary_learning_filter_v5,0.322222,0.466667,0.794444,0.852778,0.127218,0.218944,0.787234,0.088253,0.650000,0.344444,-0.099469,0.161940,0.490862
1,0.2,geometric_projection_filter,0.272222,0.572222,0.850000,0.647222,0.130690,0.486989,0.689796,0.212161,0.880556,0.297222,-0.278621,-0.068960,0.608230
1,0.2,lagrangian_safe_rl,0.236111,0.650000,0.827778,0.630556,0.081141,0.242783,0.677686,0.181627,0.763889,0.172222,-0.298825,0.085264,0.582117
1,0.2,oracle_boundary_teacher,0.586111,0.138889,0.772222,0.983333,0.083747,0.162150,0.834697,0.026920,0.505556,0.638889,0.407977,0.275149,0.291355
1,0.2,recovery_policy_shield,0.516667,0.355556,0.850000,0.855556,0.165197,0.580078,0.785841,0.138235,0.777778,0.486111,0.086633,-0.063875,0.477789
1,0.2,robust_mpc_shield,0.561111,0.238889,0.869444,0.952778,0.224563,0.784000,0.816667,0.145748,0.858333,0.622222,0.145557,-0.190198,0.484324
1,0.2,safety_filter_distillation,0.286111,0.500000,0.794444,0.875000,0.119405,0.288600,0.793706,0.129110,0.747222,0.313889,-0.171571,0.105956,0.529303
1,0.2,shielded_behavior_cloning,0.208333,0.697222,0.827778,0.661111,0.096250,0.279194,0.698990,0.166646,0.775000,0.177778,-0.369363,0.063412,0.612673
1,0.2,unfiltered_policy,0.072222,0.863889,0.850000,0.000000,0.000000,0.000000,0.000000,0.531661,0.863889,0.000000,-0.534753,0.124633,0.662000
1,0.4,action_clipping_filter,0.219444,0.527778,0.866667,0.919444,0.225797,0.722639,0.806838,0.111443,0.897222,0.363889,-0.379954,-0.194716,0.653160
1,0.4,adversarial_safety_critic,0.188889,0.630556,0.844444,0.605556,0.094390,0.244811,0.673729,0.228713,0.769444,0.219444,-0.339003,0.063571,0.584768
1,0.4,boundary_learning_filter_v4,0.241667,0.541667,0.816667,0.911111,0.130476,0.290889,0.797251,0.113341,0.697222,0.297222,-0.246431,0.094091,0.547792
1,0.4,cbf_safety_filter,0.480556,0.277778,0.836111,0.958333,0.246754,0.822500,0.818030,0.138021,0.883333,0.555556,0.022327,-0.186471,0.530694
1,0.4,conformal_uncertainty_shield,0.419444,0.283333,0.855556,0.980556,0.297821,0.866264,0.817133,0.229631,0.886111,0.575000,-0.066944,-0.233623,0.554337
1,0.4,counterfactual_boundary_learning_filter_v5,0.275000,0.466667,0.800000,0.902778,0.137102,0.231311,0.804836,0.063215,0.661111,0.341667,-0.153520,0.145672,0.503569
1,0.4,geometric_projection_filter,0.213889,0.536111,0.880556,0.697222,0.144351,0.519789,0.693069,0.221714,0.886111,0.333333,-0.326507,-0.115772,0.614736
1,0.4,lagrangian_safe_rl,0.180556,0.633333,0.833333,0.716667,0.093845,0.273350,0.699219,0.168622,0.780556,0.230556,-0.355396,0.060550,0.593850
1,0.4,oracle_boundary_teacher,0.572222,0.163889,0.769444,0.997222,0.089225,0.163600,0.825449,0.055673,0.541667,0.605556,0.375993,0.264406,0.303293
1,0.4,recovery_policy_shield,0.533333,0.333333,0.844444,0.886111,0.176218,0.599606,0.795812,0.105557,0.769444,0.502778,0.110787,-0.064026,0.471672
1,0.4,robust_mpc_shield,0.622222,0.230556,0.836111,0.983333,0.236838,0.807750,0.825658,0.130305,0.897222,0.608333,0.205608,-0.178070,0.474494
1,0.4,safety_filter_distillation,0.319444,0.544444,0.836111,0.922222,0.129663,0.302300,0.795222,0.104549,0.755556,0.311111,-0.170916,0.054043,0.540349
1,0.4,shielded_behavior_cloning,0.188889,0.661111,0.852778,0.752778,0.112034,0.317528,0.746667,0.164185,0.819444,0.205556,-0.378831,0.008843,0.612447
1,0.4,unfiltered_policy,0.088889,0.833333,0.841667,0.000000,0.000000,0.000000,0.000000,0.538054,0.858333,0.000000,-0.498267,0.135944,0.648889
1,0.6,action_clipping_filter,0.169444,0.594444,0.930556,0.955556,0.239575,0.778061,0.885759,0.167245,0.936111,0.355556,-0.488654,-0.296196,0.693624
1,0.6,adversarial_safety_critic,0.138889,0.688889,0.922222,0.730556,0.116828,0.304944,0.781362,0.300767,0.850000,0.238889,-0.445882,-0.067451,0.624689
1,0.6,boundary_learning_filter_v4,0.163889,0.611111,0.888889,0.952778,0.140528,0.314806,0.874608,0.146885,0.805556,0.291667,-0.378198,-0.025057,0.590249
1,0.6,cbf_safety_filter,0.419444,0.336111,0.919444,0.986111,0.260777,0.876028,0.892308,0.234621,0.944444,0.586111,-0.092272,-0.313380,0.570530
1,0.6,conformal_uncertainty_shield,0.402778,0.330556,0.900000,0.991667,0.311870,0.910183,0.898773,0.303400,0.925000,0.569444,-0.126757,-0.310259,0.580581
1,0.6,counterfactual_boundary_learning_filter_v5,0.269444,0.494444,0.891667,0.977778,0.155577,0.258844,0.890263,0.125774,0.747222,0.400000,-0.187607,0.013547,0.520198
1,0.6,geometric_projection_filter,0.194444,0.566667,0.913889,0.783333,0.165898,0.609533,0.811092,0.267452,0.916667,0.363889,-0.389960,-0.196392,0.643050
1,0.6,lagrangian_safe_rl,0.180556,0.688889,0.913889,0.819444,0.109759,0.326317,0.827119,0.243532,0.883333,0.230556,-0.405610,-0.074941,0.620848
1,0.6,oracle_boundary_teacher,0.488889,0.197222,0.875000,1.000000,0.093896,0.170250,0.900763,0.035866,0.647222,0.677778,0.266280,0.121118,0.332265
1,0.6,recovery_policy_shield,0.430556,0.366667,0.913889,0.969444,0.198207,0.678539,0.888199,0.154839,0.866667,0.547222,-0.038394,-0.198687,0.516324
1,0.6,robust_mpc_shield,0.547222,0.305556,0.897222,0.977778,0.243699,0.832000,0.890263,0.169543,0.919444,0.594444,0.074056,-0.259885,0.517639
1,0.6,safety_filter_distillation,0.225000,0.541667,0.908333,0.975000,0.141358,0.331800,0.888545,0.164693,0.841667,0.372222,-0.275883,-0.058807,0.563994
1,0.6,shielded_behavior_cloning,0.141667,0.713889,0.888889,0.819444,0.125925,0.355478,0.810169,0.204511,0.886111,0.208333,-0.472449,-0.066390,0.645835
1,0.6,unfiltered_policy,0.033333,0.925000,0.936111,0.000000,0.000000,0.000000,0.000000,0.633483,0.947222,0.000000,-0.613460,0.010789,0.689333
1,0.8,action_clipping_filter,0.138889,0.600000,0.922222,0.966667,0.245402,0.787617,0.891304,0.158467,0.930556,0.336111,-0.527280,-0.291598,0.703709
1,0.8,adversarial_safety_critic,0.133333,0.661111,0.922222,0.808333,0.131886,0.338433,0.831346,0.286725,0.880556,0.263889,-0.445102,-0.090944,0.623640
1,0.8,boundary_learning_filter_v4,0.147222,0.602778,0.886111,0.961111,0.146453,0.318597,0.887850,0.113260,0.841667,0.297222,-0.392604,-0.035726,0.592438
1,0.8,cbf_safety_filter,0.350000,0.313889,0.930556,0.991667,0.270283,0.882033,0.897397,0.189676,0.930556,0.616667,-0.153853,-0.325059,0.579739
1,0.8,conformal_uncertainty_shield,0.322222,0.350000,0.925000,1.000000,0.324518,0.918267,0.902439,0.268835,0.902778,0.580556,-0.227426,-0.336256,0.606161
1,0.8,counterfactual_boundary_learning_filter_v5,0.225000,0.508333,0.880556,0.983333,0.160211,0.260867,0.898462,0.095451,0.797222,0.377778,-0.243981,0.006676,0.534609
1,0.8,geometric_projection_filter,0.144444,0.580556,0.936111,0.825000,0.177602,0.640283,0.822934,0.244509,0.933333,0.369444,-0.459832,-0.238508,0.663291
1,0.8,lagrangian_safe_rl,0.155556,0.691667,0.908333,0.813889,0.111570,0.324333,0.825127,0.225037,0.869444,0.247222,-0.433291,-0.065448,0.626825
